placekey,location_name,lat,lon,top_category,sub_category,borough,income_known_devices,income_mixing_score,expected_mixing_score,mixing_residual_z,balance_score,expected_balance_score,balance_residual_z,bootstrap_stability_pct,months_confirmed,evidence_tier,direction
22b-222@627-wg2-7bk,Dunkin',40.617325,-73.909728,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Brooklyn,601,0.8065,0.8656,-1.752,0.5641,0.7286,-2.559,,0,none,
22b-223@627-vvc-cqz,Classic Pizza,40.575522,-74.127944,Restaurants and Other Eating Places,Full-Service Restaurants,Staten Island,259,0.7921,0.8083,-0.307,0.5927,0.6009,-0.144,,0,none,
22d-224@627-wgz-3h5,Chong Qing Wharf,40.6315,-74.008577,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,267,0.9608,0.9314,0.819,0.7949,0.7423,0.776,,0,none,
22f-223@627-s87-x3q,Triple D Meat,40.687586,-73.834849,Specialty Food Stores,,Queens,55,0.8367,0.8745,-0.814,0.6364,0.6997,-0.895,,0,none,
22b-227@627-s8h-y35,Anita Gelato,40.744006,-73.989165,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Manhattan,59,0.9488,0.9727,-0.554,0.7797,0.8527,-0.945,,0,none,
22g-223@627-s7z-b49,R And G Grocery,40.672597,-73.881501,Grocery Stores,,Brooklyn,111,0.8904,0.9308,-1.209,0.7005,0.7608,-0.96,,0,none,
22h-222@627-s96-j35,El Gran Canario,40.710503,-73.953844,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,205,0.9792,0.9498,0.818,0.8841,0.8067,1.157,,0,none,
22j-226@627-s93-rx5,Patron Nyc,40.707611,-73.915558,Restaurants and Other Eating Places,Restaurants and Other Eating Places,Queens,87,0.752,0.8798,-2.759,0.5805,0.6858,-1.5,,0,none,
22n-225@627-s4r-vs5,La Pecora Bianca UWS,40.780468,-73.976285,Restaurants and Other Eating Places,Full-Service Restaurants,Manhattan,176,0.9062,0.949,-1.037,0.6974,0.7952,-1.279,,0,none,
22p-222@627-rwc-jd9,J E Bakery,40.859714,-73.865796,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Bronx,82,0.8409,0.7541,1.134,0.5701,0.5277,0.507,,0,none,
22p-222@627-s84-p35,Paper Rain,40.676134,-73.891988,Other Amusement and Recreation Industries,All Other Amusement and Recreation Industries,Brooklyn,302,0.9644,0.9246,1.122,0.8601,0.7856,1.112,,0,none,
22s-222@627-wc7-wrk,Cellini Uomo,40.719835,-73.989555,Department Stores,Department Stores,Manhattan,157,0.9575,0.9738,-0.36,0.7866,0.862,-0.976,,0,none,
22s-223@627-s7r-zj9,Momentos Grill Bar Resturant,40.747652,-73.865346,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,97,0.8621,0.8773,-0.326,0.6108,0.6691,-0.822,,0,none,
22t-222@627-s7t-nnq,Museum of Comedy,40.718278,-73.852427,"Museums, Historical Sites, and Similar Institutions",Museums,Queens,141,0.805,0.8869,-1.768,0.5691,0.6887,-1.705,,0,none,
22t-224@627-wdk-yd9,Chipotle Mexican Grill,40.603393,-73.99655,Restaurants and Other Eating Places,Limited-Service Restaurants,Brooklyn,412,0.9187,0.9341,-0.483,0.7203,0.7397,-0.331,,0,none,
22v-224@627-wdh-d35,Club Pilates,40.604484,-73.971624,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,Brooklyn,153,0.9631,0.9268,1.02,0.8268,0.744,1.24,,0,none,
