placekey,location_name,lat,lon,top_category,sub_category,borough,income_known_devices,income_mixing_score,expected_mixing_score,mixing_residual_z,balance_score,expected_balance_score,balance_residual_z,bootstrap_stability_pct,months_confirmed,evidence_tier,direction
zzy-222@627-vvn-j7q,Yafa Shawarma Food Truck,40.583534,-74.085815,Restaurants and Other Eating Places,Limited-Service Restaurants,Staten Island,196,0.8434,0.8757,-0.585,0.6148,0.6784,-0.772,,0,none,
22w-222@627-s6h-j9z,El Sazn Ideal,40.853813,-73.914633,Restaurants and Other Eating Places,Full-Service Restaurants,Bronx,96,0.6913,0.6698,0.279,0.4453,0.4449,0.004,,0,none,
22w-223@627-wc7-wzf,Gazab,40.718064,-73.98864,Food Services and Drinking Places,,Manhattan,594,0.9896,0.9806,0.286,0.9082,0.8755,0.485,,0,none,
23v-222@627-wdk-3bk,T & D Bakery,40.599862,-73.948254,Restaurants and Other Eating Places,Limited-Service Restaurants,Brooklyn,247,0.9393,0.9364,0.049,0.748,0.7513,-0.083,,0,none,
222-224@627-s8p-z4v,Griddle,40.739586,-73.937905,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,Queens,115,0.9528,0.9118,0.889,0.7826,0.6916,1.326,,0,none,
zzw-223@627-s85-rc5,Planet Fitness,40.654399,-73.88814,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,Brooklyn,138,0.9108,0.9227,-0.382,0.7355,0.7555,-0.339,,0,none,
zzw-224@627-s83-5j9,Popeyes Louisiana Kitchen,40.654519,-73.839175,Restaurants and Other Eating Places,Limited-Service Restaurants,Queens,203,0.9292,0.8925,0.796,0.7833,0.7584,0.375,,0,none,
226-222@627-wdh-j7q,Amazing Savings,40.618589,-73.959223,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Brooklyn,335,0.9565,0.9342,0.61,0.8209,0.7648,0.829,,0,none,
225-222@627-s6f-w49,Popeyes Louisiana Kitchen,40.811196,-73.927707,Restaurants and Other Eating Places,Limited-Service Restaurants,Bronx,169,0.7617,0.6814,1.05,0.5607,0.4653,1.142,,0,none,
zzy-225@627-sb2-jy9,Father and Son Halal Cart,40.726389,-73.811432,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Queens,170,0.9513,0.8949,1.222,0.7941,0.7352,0.864,,0,none,
227-22c@627-wbv-hyv,Limusina,40.753718,-73.996473,Restaurants and Other Eating Places,Full-Service Restaurants,Manhattan,254,0.9918,0.9763,0.453,0.9045,0.8549,0.713,,0,none,
27t-224@627-s6b-p35,Metate,40.816633,-73.91486,Restaurants and Other Eating Places,Full-Service Restaurants,Bronx,550,0.7301,0.7317,-0.025,0.5114,0.5051,0.074,,0,none,
238-225@627-wfc-q4v,Chictea,40.630632,-74.0283,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Brooklyn,105,0.9245,0.923,0.007,0.7619,0.7445,0.235,,0,none,
22h-222@627-wd9-j5f,La Casa Bella,40.59073,-73.991383,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,239,0.9335,0.9351,-0.083,0.7688,0.7521,0.224,,0,none,
zzy-23d@627-sb9-qmk,The Rabbit Hole Astoria,40.759074,-73.91976,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),Queens,95,0.8782,0.8864,-0.175,0.6447,0.689,-0.621,,0,none,
222-223@627-vvc-2p9,Rumble,40.56462,-74.113746,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,Staten Island,59,0.8141,0.8888,-1.321,0.5847,0.7185,-1.569,,0,none,
224-223@627-s9x-9s5,Burger King,40.719786,-73.795558,Restaurants and Other Eating Places,Limited-Service Restaurants,Queens,74,0.9258,0.8688,1.235,0.7872,0.6924,1.382,,0,none,
224-226@627-s9r-x3q,Deal Ninety Nine,40.694769,-73.782106,Department Stores,Department Stores,Queens,367,0.9116,0.8977,0.304,0.6826,0.6966,-0.186,,0,none,
225-222@627-wc3-cbk,Pio Bagel,40.692103,-73.986476,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Brooklyn,321,0.9839,0.9862,-0.102,0.8731,0.9011,-0.463,,0,none,
226-225@627-s5w-zcq,Serrano Salsa,40.868426,-73.919338,Restaurants and Other Eating Places,Full-Service Restaurants,Manhattan,796,0.9743,0.9662,0.262,0.8373,0.8379,0.034,,0,none,
226-225@627-s8r-5xq,The Three Monkeys,40.762367,-73.985824,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),Manhattan,422,0.9973,0.9868,0.325,0.9562,0.9059,0.722,,0,none,
227-222@627-wc8-gx5,Annies First Wok,40.701563,-73.984596,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,54,0.9919,0.9459,1.3,0.9167,0.7941,1.851,,0,none,
229-224@627-wc7-zpv,Shake Shack,40.719362,-73.986666,Restaurants and Other Eating Places,Limited-Service Restaurants,Manhattan,74,0.9395,0.9648,-0.591,0.7534,0.836,-1.075,,0,none,
22c-223@627-vvc-qpv,Bonchon,40.576749,-74.103814,Restaurants and Other Eating Places,Limited-Service Restaurants,Staten Island,688,0.8865,0.8477,0.647,0.6926,0.6496,0.438,,0,none,
22f-223@627-s8j-pqf,Orangetheory Fitness,40.748898,-73.975467,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,Manhattan,127,0.939,0.9529,-0.298,0.7756,0.8218,-0.583,,0,none,
22j-223@627-wgt-snq,Great Taste Dumpling,40.644478,-74.000008,Restaurants and Other Eating Places,Limited-Service Restaurants,Brooklyn,70,0.8182,0.9419,-3.627,0.5536,0.7732,-3.405,,0,none,
22j-225@627-s6d-d7q,Jose Grocery,40.830304,-73.943659,Grocery Stores,Convenience Stores,Manhattan,184,0.8651,0.8939,-0.681,0.6644,0.678,-0.141,,0,none,
22k-223@627-s8z-q9f,Lowerline,40.674182,-73.963262,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,52,0.9302,0.9483,-0.56,0.7644,0.8074,-0.693,,0,none,
22m-227@627-s8y-gc5,Banhmi-Pro,40.685098,-73.979722,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,114,0.9804,0.9734,0.167,0.875,0.8597,0.202,,0,none,
22n-224@627-wc3-9s5,Blue Collar - Cobble Hill,40.68765,-73.99317,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Brooklyn,120,0.893,0.9686,-2.229,0.7188,0.8424,-1.932,,0,none,
22p-222@627-s8x-zs5,Wing Wagon,40.677151,-73.972086,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,56,0.9588,0.9512,0.185,0.7857,0.8114,-0.426,,0,none,
22r-222@627-s6j-w6k,Mega Discount,40.828699,-73.879725,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Bronx,225,0.6685,0.6727,-0.059,0.4278,0.4488,-0.253,,0,none,
22r-222@627-s9h-5pv,J and J Personal Training,40.774452,-73.814208,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,Queens,92,0.9749,0.8723,2.219,0.8397,0.6807,2.306,,0,none,
22r-225@627-wh2-gff,Techne Kafe,40.664414,-73.983847,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Brooklyn,78,0.9156,0.9431,-0.835,0.7628,0.7952,-0.529,,0,none,
22t-224@627-s8y-qfz,Fulton Grocery Deli,40.681553,-73.958359,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,Brooklyn,136,0.9809,0.9523,0.796,0.8768,0.8084,1.018,,0,none,
22y-222@627-wdm-p5f,Gourmet Deli Grill,40.620041,-73.989599,Grocery Stores,Convenience Stores,Brooklyn,171,0.8483,0.9251,-2.267,0.6389,0.726,-1.371,,0,none,
236-223@627-wf9-zfz,Ocean Deli Market,40.595627,-74.063293,Restaurants and Other Eating Places,Restaurants and Other Eating Places,Staten Island,620,0.927,0.8835,0.729,0.7802,0.6854,1.027,,0,none,
23j-222@627-s69-8vz,Los 5 Poderosos,40.839252,-73.916494,Restaurants and Other Eating Places,Full-Service Restaurants,Bronx,103,0.5115,0.6557,-1.896,0.3155,0.4371,-1.458,,0,none,
zzw-226@627-vsg-nyv,Orangetheory Fitness,40.588728,-74.166681,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,Staten Island,584,0.8542,0.8489,0.065,0.6498,0.662,-0.189,,0,none,
zzy-222@627-rwq-jvz,Butterfly Meditation Garden,40.819363,-73.880044,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Bronx,204,0.8164,0.7192,1.271,0.5564,0.5123,0.528,,0,none,
zzy-222@627-s64-wtv,Park,40.881594,-73.901248,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Bronx,1605,0.9506,0.852,1.289,0.7773,0.6306,1.756,,0,none,
zzy-222@627-vv7-5fz,Forest Mall,40.630977,-74.091276,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Staten Island,536,0.9203,0.8865,0.56,0.7215,0.7006,0.188,,0,none,
zzy-222@627-vv8-3bk,Asesora de belleza Mary Kay,40.63659,-74.143831,Personal Care Services,"Hair, Nail, and Skin Care Services",Staten Island,88,0.9643,0.9268,0.625,0.8409,0.699,1.561,,0,none,
zzy-222@627-wff-b6k,Athleteex,40.617516,-74.02599,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,Brooklyn,1161,0.9343,0.9712,-1.108,0.7595,0.8598,-1.574,,0,none,
zzy-223@627-s7k-tn5,NYC Nepali Lifestyle,40.736363,-73.86626,"Arts, Entertainment, and Recreation",,Queens,149,0.8943,0.9095,-0.326,0.7097,0.7121,-0.018,,0,none,
22q-222@627-s8x-rp9,Paul Robeson Theater,40.685879,-73.97087,Performing Arts Companies,Theater Companies and Dinner Theaters,Brooklyn,90,0.9672,0.9537,0.359,0.8333,0.822,0.141,,0,none,
22v-222@627-rwx-f4v,Blimpie,40.834066,-73.851378,Restaurants and Other Eating Places,Limited-Service Restaurants,Bronx,186,0.8624,0.8607,0.018,0.6331,0.6617,-0.344,,0,none,
22w-223@627-s84-r6k,Cuanc Qinc,40.676904,-73.880701,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,109,0.9243,0.9454,-0.647,0.7661,0.7911,-0.417,,0,none,
236-223@627-wc7-2hq,BNS Studio,40.721562,-74.002466,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,Manhattan,60,0.9907,0.9684,0.625,0.8958,0.8398,0.799,,0,none,
3gf-222@627-s4r-2kz,Oh K-dog Nyc,40.768325,-73.98563,Restaurants and Other Eating Places,Restaurants and Other Eating Places,Manhattan,263,0.9708,0.9717,0.033,0.8203,0.8473,-0.322,,0,none,
223-224@627-rwq-zzz,Wingstop,40.824404,-73.859175,Restaurants and Other Eating Places,Limited-Service Restaurants,Bronx,389,0.8823,0.8597,0.292,0.6967,0.6856,0.131,,0,none,
zzy-22k@627-wdj-nwk,Quick shoppy,40.598422,-73.961434,Grocery Stores,Convenience Stores,Brooklyn,120,0.8954,0.9262,-0.931,0.6562,0.7486,-1.451,,0,none,
zzy-224@627-s6k-kfz,Captain William Harry Thompson Playground,40.83434,-73.877759,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Bronx,218,0.6835,0.7556,-0.951,0.4736,0.5432,-0.835,,0,none,
zzy-222@627-wdg-fs5,Leon S Kaiser Playground,40.580849,-74.000949,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Brooklyn,193,0.9104,0.9342,-0.728,0.7267,0.7734,-0.75,,0,none,
224-223@627-s4t-wc5,Metro Market Place,40.795397,-73.948401,Grocery Stores,Convenience Stores,Manhattan,96,0.863,0.9226,-1.466,0.6797,0.7559,-0.987,,0,none,
224-225@627-s8y-dgk,Jersey Mike's,40.6786,-73.978807,Restaurants and Other Eating Places,Limited-Service Restaurants,Brooklyn,58,0.9397,0.9514,-0.376,0.7457,0.8029,-0.911,,0,none,
223-227@627-s8t-zcq,Fulton Ale House,40.679918,-73.942937,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),Brooklyn,65,0.909,0.9414,-0.975,0.6731,0.7987,-1.962,,0,none,
zzy-245@627-s99-9zz,Tong Xuan You Pin Inc,40.757817,-73.829509,Grocery Stores,Convenience Stores,Queens,181,0.9735,0.9341,0.854,0.837,0.7602,1.122,,0,none,
224-224@627-s8z-xnq,P S 375,40.664511,-73.959437,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Brooklyn,175,0.9606,0.9432,0.471,0.8,0.7806,0.266,,0,none,
zzz-222@627-s8y-mkz,Star Spangled Playground,40.691698,-73.957911,Other Amusement and Recreation Industries,All Other Amusement and Recreation Industries,Brooklyn,177,0.9747,0.9491,0.708,0.8602,0.8056,0.806,,0,none,
zzz-222@627-s94-fcq,Thomas Boyland Park,40.681466,-73.907338,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Brooklyn,408,0.9711,0.9531,0.487,0.8634,0.7914,1.072,,0,none,
222-22x@627-rwm-8y9,Capt Loui,40.82396,-73.838372,Restaurants and Other Eating Places,Restaurants and Other Eating Places,Bronx,292,0.8995,0.9209,-0.285,0.7337,0.782,-0.58,,0,none,
222-23c@627-s8r-8n5,NYC Jazz Tour,40.766418,-73.981632,Performing Arts Companies,Theater Companies and Dinner Theaters,Manhattan,272,0.9886,0.9792,0.298,0.9072,0.8745,0.484,,0,none,
223-224@627-s8z-fs5,Bajan Foods,40.661429,-73.950894,Restaurants and Other Eating Places,,Brooklyn,69,0.9079,0.9475,-1.185,0.7029,0.8062,-1.619,,0,none,
223-223@627-wg9-7kf,Rocks Deli Grocery,40.642073,-73.898504,Grocery Stores,,Brooklyn,399,0.9211,0.9401,-0.588,0.7569,0.7717,-0.26,,0,none,
223-24s@627-s8r-6ff,The 6th Ave Beach,40.760097,-73.981819,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Manhattan,375,0.9719,0.9836,-0.242,0.8367,0.8935,-0.726,,0,none,
224-222@627-sb9-jsq,Coffee Pot,40.766875,-73.921042,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Queens,96,0.9147,0.9171,-0.051,0.6797,0.7601,-1.141,,0,none,
224-225@627-wgz-ckf,Coszcal De Allende,40.631298,-74.028157,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,95,0.9339,0.9235,0.267,0.7763,0.747,0.418,,0,none,
225-227@627-s9g-3kf,Doudou Restaurant,40.753895,-73.833133,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,109,0.944,0.8903,1.164,0.7661,0.7131,0.779,,0,none,
226-222@627-s8t-z4v,Golden Krust Caribbean Bakery and Grill,40.677195,-73.9341,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,58,0.9333,0.9142,0.521,0.7802,0.7375,0.623,,0,none,
226-222@627-w9g-dvz,Crispy Pizza,40.644481,-74.09827,Restaurants and Other Eating Places,Full-Service Restaurants,Staten Island,112,0.9754,0.9598,0.246,0.8571,0.8181,0.393,,0,none,
226-223@627-s7n-4gk,New Sweet Rice Restaurant Inc,40.702921,-73.8701,Restaurants and Other Eating Places,,Queens,131,0.9112,0.8718,0.853,0.6985,0.6682,0.452,,0,none,
222-222@627-wh4-5cq,Corthaiyou,40.640414,-73.965831,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,55,0.8746,0.9368,-1.841,0.7045,0.7851,-1.269,,0,none,
22b-222@627-s9w-75z,Vegan360NYC - Deegeesllc,40.690823,-73.814132,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,353,0.856,0.8942,-0.823,0.6466,0.6811,-0.48,,0,none,
22c-222@627-rwb-9cq,McDonald's,40.872815,-73.878816,Restaurants and Other Eating Places,Limited-Service Restaurants,Bronx,98,0.6749,0.6792,-0.059,0.4413,0.4839,-0.511,,0,none,
22m-222@627-wh4-w8v,Jus Fishy & Beyond,40.64502,-73.957851,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,81,0.944,0.9235,0.558,0.7901,0.7506,0.574,,0,none,
22d-222@627-vv5-3kf,Joe Joe Pizza And Resturant,40.637223,-74.117059,Restaurants and Other Eating Places,Full-Service Restaurants,Staten Island,131,0.985,0.9556,0.485,0.8798,0.7091,1.888,,0,none,
234-222@627-s8y-ffz,Brooklyn Wing Company,40.679852,-73.974122,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,87,0.9867,0.9622,0.676,0.8879,0.8325,0.82,,0,none,
234-223@627-wg4-d9z,Mc Beans,40.633814,-73.948388,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,232,0.9433,0.9352,0.201,0.7532,0.7683,-0.263,,0,none,
22g-222@627-wgv-2tv,Dollar Town,40.641398,-74.005938,"General Merchandise Stores, including Warehouse Clubs and Supercenters",,Brooklyn,85,0.9204,0.93,-0.314,0.7353,0.7565,-0.358,,0,none,
22g-227@627-rwd-p9z,Cooler Runnings Jamaican Restaurant,40.898057,-73.850249,Restaurants and Other Eating Places,Full-Service Restaurants,Bronx,94,0.9569,0.9205,0.473,0.8085,0.7385,0.838,,0,none,
22h-222@627-s6c-bc5,Pizza Hut,40.816269,-73.910747,Restaurants and Other Eating Places,Limited-Service Restaurants,Bronx,237,0.7187,0.6604,0.761,0.5243,0.4391,1.019,,0,none,
22h-223@627-rwx-yd9,Duha Cafe & Pizza,40.844601,-73.845687,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Bronx,135,0.9094,0.8602,0.642,0.713,0.6699,0.515,,0,none,
22j-222@627-s6g-hbk,Court Deli,40.827019,-73.92442,Restaurants and Other Eating Places,Limited-Service Restaurants,Bronx,200,0.7398,0.7119,0.361,0.4812,0.5099,-0.344,,0,none,
22j-226@627-s7q-q2k,Kanji Sushi Hibachi - Ridgewood,40.701236,-73.891744,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,71,0.9432,0.8828,1.307,0.7782,0.6719,1.546,,0,none,
22k-222@627-s4n-5pv,La Mia Pizza,40.771314,-73.953228,Restaurants and Other Eating Places,Full-Service Restaurants,Manhattan,50,0.9555,0.9231,0.882,0.775,0.7553,0.309,,0,none,
22k-224@627-wf9-m8v,Kiddo,40.592598,-74.08744,"Arts, Entertainment, and Recreation",,Staten Island,173,0.9125,0.8489,1.078,0.7197,0.6255,1.019,,0,none,
22n-222@627-s96-m8v,Action Burger,40.712296,-73.943766,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,112,0.9812,0.9464,0.975,0.8683,0.8042,0.952,,0,none,
22n-222@627-wgw-fj9,The Closeout Connection,40.637084,-73.9904,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Brooklyn,64,0.9192,0.9266,-0.251,0.7344,0.7419,-0.148,,0,none,
22n-224@627-s6h-jgk,Montero 068 Restaurant,40.854341,-73.916282,Restaurants and Other Eating Places,Restaurants and Other Eating Places,Bronx,211,0.6603,0.7531,-1.221,0.4502,0.5434,-1.117,,0,none,
22r-222@627-s69-ckf,Hungry Bird,40.828594,-73.916605,Restaurants and Other Eating Places,Full-Service Restaurants,Bronx,108,0.6218,0.6865,-0.852,0.4005,0.4729,-0.869,,0,none,
22v-222@627-wg9-ygk,The Rogers Garden,40.654185,-73.95309,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),Brooklyn,291,0.9153,0.9481,-0.99,0.6967,0.8038,-1.677,,0,none,
22x-222@627-rws-whq,5 Cake 5 Juice Vegan,40.810276,-73.852526,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Bronx,52,0.858,0.8232,0.452,0.6827,0.6884,-0.069,,0,none,
22x-224@627-sb9-kcq,Curry Corner,40.765752,-73.919229,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,64,0.8253,0.9088,-1.8,0.582,0.7378,-2.226,,0,none,
22y-223@627-wg4-q2k,Superfresh,40.641249,-73.956603,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,Brooklyn,127,0.893,0.9236,-0.926,0.6831,0.7516,-1.085,,0,none,
22r-224@627-tnz-9j9,11807 Alexander Deli Grocer,40.679533,-73.79165,Specialty Food Stores,,Queens,84,0.8717,0.8708,0.021,0.6518,0.6739,-0.303,,0,none,
239-224@627-s8v-n5z,Lalin's,40.693667,-73.929047,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Brooklyn,68,0.9309,0.9444,-0.43,0.7647,0.7986,-0.553,,0,none,
23j-226@627-wh2-5vf,Teriyaki Hee Japanese Grill & Ramen,40.640868,-74.014932,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,116,0.9623,0.9269,0.993,0.7996,0.7711,0.405,,0,none,
23m-222@627-s8j-kcq,D'Agostino,40.74665,-73.977817,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,Manhattan,50,0.9104,0.9349,-0.569,0.7,0.7767,-0.994,,0,none,
zzw-222@627-rwc-kzz,McDonald's,40.864087,-73.867089,Restaurants and Other Eating Places,Limited-Service Restaurants,Bronx,230,0.826,0.6778,1.94,0.5815,0.4544,1.522,,0,none,
zzw-224@627-s7k-dn5,United Taekwondo Center,40.726719,-73.894606,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,Queens,53,0.7506,0.8772,-2.732,0.4858,0.6887,-2.905,,0,none,
zzw-22c@627-vsf-73q,Commons caf,40.605479,-74.179055,Restaurants and Other Eating Places,Limited-Service Restaurants,Staten Island,189,0.7901,0.8184,-0.517,0.5728,0.6101,-0.475,,0,none,
zzy-226@627-s7s-rkz,Flakito Ecuatoriano y su Rumba Musical,40.753777,-73.856707,Performing Arts Companies,,Queens,158,0.8332,0.8797,-1.002,0.5902,0.6814,-1.297,,0,none,
274-223@627-s8z-rkz,Get Cantaloupe,40.674188,-73.96718,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Brooklyn,66,0.9662,0.9343,0.889,0.8371,0.777,0.892,,0,none,
zzw-223@627-w7h-9zz,Intoxx Fitness - Tottenville,40.520728,-74.236753,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,Staten Island,311,0.6369,0.6911,-0.966,0.3947,0.4815,-1.035,,0,none,
22g-223@627-rzw-9zz,Ralph's Italian ices & Ice Cream,40.749217,-73.708224,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Queens,260,0.8892,0.8892,0.002,0.6827,0.6902,-0.091,,0,none,
22j-223@627-s8r-jjv,Marc Andresen Fitness,40.765952,-73.963717,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,Manhattan,168,0.9824,0.9471,0.958,0.8899,0.7797,1.532,,0,none,
238-222@627-wdd-p9z,Gyro Mania,40.599085,-73.99782,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,410,0.9331,0.9392,-0.212,0.7622,0.7597,0.006,,0,none,
222-29t@627-s8q-swk,sweetgreen,40.757848,-73.971132,Restaurants and Other Eating Places,Limited-Service Restaurants,Manhattan,375,0.9802,0.9735,0.227,0.8767,0.8411,0.523,,0,none,
224-222@627-s7t-py9,Planet Fitness,40.721708,-73.84628,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,Queens,148,0.9274,0.8883,0.848,0.7399,0.6844,0.816,,0,none,
35d-223@627-s8j-cwk,Long Island Dumplings,40.73696,-73.997387,Restaurants and Other Eating Places,Full-Service Restaurants,Manhattan,138,0.9859,0.9726,0.396,0.8841,0.8595,0.375,,0,none,
223-222@627-wby-zfz,Starbucks,40.70334,-74.014106,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Manhattan,208,0.9809,0.9769,0.158,0.8606,0.877,-0.179,,0,none,
zzy-223@627-s9m-t5f,Hi Bella- Lashes&Beauty,40.788428,-73.840638,Personal Care Services,"Hair, Nail, and Skin Care Services",Queens,239,0.7851,0.8901,-2.266,0.5847,0.6954,-1.577,,0,none,
229-222@627-rw9-wtv,Strong Street Playground,40.871274,-73.898324,"Arts, Entertainment, and Recreation",,Bronx,219,0.774,0.8323,-0.769,0.4897,0.6213,-1.578,,0,none,
229-222@627-vvc-r6k,Grant City Tavern,40.578991,-74.10909,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),Staten Island,76,0.8407,0.7857,0.928,0.6118,0.5991,0.095,,0,none,
22c-223@627-rzx-47q,Neptune Diner,40.76878,-73.773336,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,174,0.8473,0.88,-0.704,0.6509,0.6886,-0.527,,0,none,
22d-222@627-s92-cnq,Brooklyn Deli,40.67521,-73.956464,Grocery Stores,,Brooklyn,90,0.9714,0.9517,0.538,0.8194,0.8275,-0.157,,0,none,
22d-223@627-s4k-psq,Music By Gigi,40.793196,-73.974937,"Promoters of Performing Arts, Sports, and Similar Events","Promoters of Performing Arts, Sports, and Similar Events with Facilities",Manhattan,114,0.8717,0.9269,-1.353,0.6469,0.7642,-1.543,,0,none,
zzy-222@627-wgh-wzf,Carvel,40.57724,-73.952704,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Brooklyn,289,0.9917,0.9585,0.929,0.9239,0.8283,1.435,,0,none,
zzy-224@627-s88-r6k,Ozone Howard Convenience,40.671454,-73.843456,Grocery Stores,Convenience Stores,Queens,220,0.9748,0.9338,0.889,0.8636,0.7706,1.356,,0,none,
22k-222@627-s7s-kpv,Economic Minimarket,40.74328,-73.874234,Grocery Stores,,Queens,169,0.8381,0.8772,-0.842,0.6198,0.6688,-0.688,,0,none,
237-225@627-wdj-9xq,Mtskheta,40.592896,-73.950523,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),Brooklyn,674,0.9209,0.942,-0.648,0.7244,0.7593,-0.569,,0,none,
23g-223@627-s4v-bx5,Cali X Reverence,40.802864,-73.956098,Restaurants and Other Eating Places,Full-Service Restaurants,Manhattan,65,0.9502,0.9414,0.282,0.8077,0.7819,0.391,,0,none,
22f-222@627-s7v-73q,Sushi Fussion,40.732235,-73.849963,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,67,0.9068,0.8968,0.22,0.7052,0.69,0.236,,0,none,
22m-222@627-s8g-f4v,The Coffee Shop,40.726054,-73.940919,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Brooklyn,68,0.8831,0.9177,-1.038,0.6544,0.7508,-1.513,,0,none,
22n-222@627-s22-3dv,Farmbria Food Center,40.695469,-73.74197,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,Queens,329,0.8491,0.8857,-0.789,0.6717,0.6827,-0.141,,0,none,
22m-223@627-s4n-swk,7-Eleven,40.774639,-73.947828,Grocery Stores,Convenience Stores,Manhattan,52,0.9066,0.9231,-0.366,0.6827,0.7487,-0.85,,0,none,
237-222@627-wh2-rx5,Vintage Digs,40.662264,-73.985257,Used Merchandise Stores,Used Merchandise Stores,Brooklyn,56,0.9575,0.9335,0.66,0.8036,0.7882,0.204,,0,none,
zzy-222@627-wg6-b49,Starbucks,40.622841,-73.936578,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Brooklyn,734,0.9758,0.9498,0.719,0.8355,0.793,0.621,,0,none,
zzy-224@627-s6b-435,Claremont Neighborhood Garden,40.83408,-73.909958,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Bronx,206,0.7195,0.6881,0.408,0.4927,0.4859,0.081,,0,none,
zzy-226@627-s9s-8sq,Rochdale Park,40.697956,-73.792536,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Queens,173,0.9408,0.8738,1.449,0.7558,0.6676,1.286,,0,none,
